,lmp_node,matched_source_sink,match_score
2108,DECO HOSTN TRF2,DECO.MONROE2,67
2109,MIUP ARMORY ARM_LD1,AMIL.MAROA.MVP,61
2110,DECO OREGN2TP OREGNOREGN2TP1,DECO.MONROE1,55
2111,EES MONROE_E T1,DECO.MONROE1,67
2112,WEC ALBERS ALBERS_L3,WEC.KAUCBL.ARR,59
2113,DECO FRMTN XF1,DECO.FRMP113,69
2114,NIPS BREMEN_C BREMEN_C_XFR1,BREC.NIPS.GRSL,54
2115,CONS ASYLM ASYLM_T1,CONS.AESM.CHSE,61
2116,CONS HILDL HILDL_T1,CONS.LUDINGTN1,61
2117,EES EXONPL T1,EES.EXXON,73
2118,WEC TYRANENA LAK_TYRANENA_2,GRE.REC.DATA,46
2119,LAGN TALI TALI,LAGN.LAGN,61
2120,NIPS HEBRON1 NO_1_XFMR,NIPS.EWNMAC.NU,50
2121,EES GTL_HE T1,EES.TOL_BEND1,69
2122,BREC STEAMPOR STEAMPORT,BREC.SEBREESO,56
2123,EES BAGTEL T4,EES.BGTEL1.ARR,67
2124,CONS GBBOC BANK_1,CONS.BRANCH,57
2125,NSP MAIN_ST MAIN_S1,NSP.MANKATST31,61
2126,CONS JCPMP JCPMP_T1,CONS.MSCP_1.AZ,61
2127,EES TAR T3,EES.STRSOL,60
2128,AMIL RODW RODW-733,AMIL.EDWARDS3,58
2129,CIN PENCNTRL LD,CONS.KENCNTY1,57
2130,NSP CANTONSD TR2,CONS.SPRTN,62
2131,DECO ALGON XF2,DECO.APPLE,58
2132,EES BVERET T5,EES.STLNG5.ARR,59
2133,HE OSPR_PT BIT1,HE.OSPR_PT,80
2134,CIN SCHULTE BK1_69,CIN.CT.VERMN.6,56
2135,CIN HETRFGR BK1_69,CIN.HENRYCO.1,58
2136,CONS TRUMX TRUMX_T1,CONS.GRATIOT1,56
2137,NIPS ORCHRD_G NO_1_XFMR,NIPS.NORWAPNOR,54
2138,AMMO WRSN WRSN_72,AMMO.RUSHIS2,62
2139,ALTW DRYC DRYC2,ALTW.CC.EMERY2,69
2140,AMMO EATH XF_2,AMMO.CALF_1.AZ,64
2141,DECO BROWNSTO DC2,DECO.BROOKFLD1,65
2142,LAGN KRSP KRSP,CONS.LANS.ARR,52
2143,CIN COLMBUSW BK1_69,CIN.PSI.LMU,53
2144,SIGE 10OAKCTY A,SIGE.10ABGTGT,64
2145,WPS CRANBERR LD_T1,WPS.CRANECREK,65
2146,MP MERRIFLD TR1,AMIL.PS1.NIMP,57
2147,EES BROUSR T2,EES.MORTN2.ARR,67
2148,AMIL 6659_TP1 CST2,AMIL.CSTNCTG2,58
2149,AMIL MONMOUTH TR2,AMIL.PS2.NIMP,60
2150,ALTW APANOSE APANOS1,ALTW.WAPLOSOLR,59
2151,EES COHEN T1,EES.CONC,70
2152,DECO PTSAN TRF_1,DECO.PHEASANT1,73
2153,EAI OPELOX T1,EAI.PLUMPT,61
2154,EES EAST_E T3,EES.STLNG3.ARR,59
2155,WPS EASTOM LD_T2,WPS.WESTON12,64
2156,MEC SUB_42 TR1,MEC.STORMLK_1,59
2157,EMBA CLARKD T1,EMBA.DELTA_WND,57
2158,NSP LINCNCO TR8,NSP.CISCO1,56
2159,WEC EVRETT EVRETT_L9,WEC.ERGS_LD,52
2160,CONS ECKERT TB1,CONS.KENCNTY1,64
2161,AMIL AMRSTEEL 138,AMIL.STLNG.ARR,65
2162,DECO GRAYLIN TRF_1,DECO.GRNWD1,62
2163,EES SAT T1,EES.SABINE1,67
2164,MEC MORTNSN MORTNS1,MEC.NORTHENG,58
2165,NIPS PR_HGTS PR_HGTS,NIPS.WHITNST,56
2166,EAI HICKMANN LT1,AMMO.HANN.LD,57
2167,OTP GRAGER GRAGER1,GRE.MP.GRE,64
2168,EES COSMAR T3,EES.STLNG3.ARR,67
2169,EES ANSELA T1,EES.ETMP_1.AZ,62
2170,CONS PORTG PORTG_T2,CONS.GRATIOT2,62
2171,EES TURTLB T2,EES.STRSOL,61
2172,NSP PINEISL TR1,NSP.PRISL1,72
2173,NSP HOLLYWD HOLLYW1,NSP.CODA.BYLL,56
2174,WEC COTTONWO COTWOD_L7,WEC.OCONTFL,55
2175,LAGN BRKC BRKC,BREC.BREC,61
2176,CONS STVSN STVSN_T1,CONS.KENCNTY1,56
2177,NSP VESLI TR1,NSP.SHERC1.SLR,67
2178,GRE DELNOGRE GRE_TR1,GRE.REC.DCLOSS,59
2179,DPC EXOLDPC EXOL2,DPC.DPC,58
2180,MP CLOQUET CLOQUE2,CLEC.CLEC,52
2181,NSP CREDRIV TR1,NSP.CEDARFAL,59
2182,MP SDALEGRE GRE_TR1,GRE.GRE,54
2183,UPPC CHATHAM2 CHA_LD_T1,MIUP.CLVHDRTN1,49
2184,CIN 08T_S_1 A,CIN.08NOBSN1,64
2185,CIN ATTICA PSI_69121,CIN.PSI_2.AZ,69
2186,EES CROWDR T2,EES.MORTN2.ARR,67
2187,MP THUNBRD THUNBR1,MP.TACHB1,52
2188,GRE MOOSELKS GRE_TR1,GRE.MP.GRE,60
2189,MEC ONTRIOMC ONTRIO1,MEC.CONTRAIL1,61
2190,IPL 16CRWFSV LD_TH,ALTW.LKFLD.IPL,50
2191,NIPS NOVAK_RD NO_1_XFMR,NIPS.NORWAPNOR,59
2192,EMBA DESOTO_E T2,EMBA.DELTA_WND,60
2193,AMIL KEWAN_IP EKEW_3355,AMIL.HEN_AMT_P,54
2194,MGE WESTPORT WPT_TR1,MGE.WMD_ESR1,56
2195,ALTW LANSING LANSIN2,ALTW.LANSIN4,69
2196,CIN SEYOBRN TR2,CIN.SUCRKGT2,59
2197,EES LKCHRP T1,EES.LKCHAR_CT1,81
2198,ALTW OSSIAN OSSIAN1,ALTW.LANSIN4,65
2199,SIGE 10JSP_N LD1,SIGE.CANL1.AMP,60
2200,EES LKA T2,EES.LKCHAR_CT2,75
2201,MEC MAFTLAKE DGO8T4,MEC.MEAN.LD,53
2202,NSP COLNHILS GRE_TR2,NSP.CHARA_TR2,67
2203,NSP WACONIAS WACONI1,NSP.OWATONA_7,61
2204,SOCO MARTINBF LD_MARTIN_BLF,SOCO.FORIN.ARR,54
2205,CIN HUNTSTAT BK3_69,CIN.HENRYCO.3,50
2206,AMIL HANS XFMR_2,AMIL.HISF,64
2207,EES VETRAN T1,EES.NEWTON,61
2208,ALTE 3ST 3ST_XF1,NSP.ST_PETER,50
2209,MEC SUB_54 TR1,MEC.STORMLK_1,59
2210,NSP ERIE_RD TR_2,NSP.ALDRIHERC,55
2211,AMIL LCLD PLANT_2_XF,AMIL.LINCLAND2,65
2212,CIN NEWTOWN3 BK1_69,CIN.GIBSON.1,52
2213,WPS IRONFNDY BRILLION,AMIL.WPSE.OLIN,51
