,node,matched_source_sink,match_score,congestion deviation,congestion mean,congestion skew,congestion kurtosis,Sink score,Source score,cluster
11759,CIN 08PARKCO A,CONS.ALCONA,56,17.39640954328309,0.9483076923076923,2.655598053616427,40.13782764892947,32.98404536354309,54.72938752868869,68
3557,CONS FOUTZ FOUTZ_T1,CONS.PFZT,57,14.618582504882653,2.3188615384615385,-1.4745961364376043,17.69780630448787,32.973723128229686,65.84749703109851,12
14379,OTP AUDUBON TR_OTP1,OTP.OTPW_1.AZ,62,15.539299989038055,0.14954871794871796,-0.91990118996754,9.690828670268107,32.97316470776402,71.7145260577884,61
12446,AMMO STLR STLR,AMMO.MRRIS.SLR,71,14.496742153179012,2.0168615384615385,-1.3847188328823279,16.61319538848421,32.949815779179836,66.66064396338014,1
1965,ALTW CEDARC IPL_T2,ALTW.UPLS_2.AZ,69,14.388038856539717,-1.9911111111111113,3.5823933579926055,28.142518428705916,32.944367281240204,63.40223616316432,46
9793,CIN 08VIGO_I LD1,CIN.08NOBSN2,50,16.011776979037357,0.9449641025641026,1.1000956255217302,28.67152829818051,32.93895038598333,60.935754262537316,68
7575,CIN 08HARTL LD1,CIN.DEI.AZ,56,16.011776979037357,0.9449641025641026,1.1000956255217302,28.67152829818051,32.93895038598333,60.935754262537316,68
10080,CONS CHVEZ CHVEZ_T1,CONS.CCG_1.AZ,62,14.631946736480954,2.2603179487179488,-1.4504258663815448,17.675188058068954,32.937431611362264,65.91262603347887,12
2886,ALTW CEDARC IPL_T1,ALTW.UPLS_1.AZ,69,14.370837754341304,-1.9945714285714284,3.5734691041227946,28.08270025850378,32.93583496552803,63.43975064741074,46
11233,NSP COKATO COKATO1,NSP.MANKATOCT1,69,15.919341801561233,0.2126666666666667,-1.147758311842462,8.85869732365684,32.92924061516946,72.11945661768934,66
722,AMMO MORU MORU_71,AMMO.MORUCTG1,67,14.489791678630777,2.0105948717948716,-1.3848533751264342,16.690666271359994,32.91833345852178,66.63284824862387,1
10369,SOCO LOGTOWNW LD_ANSLEY,ALTW.STORYCO1,50,30.10313588738397,-0.5976923076923075,2.510217270212861,38.12246026736867,32.89254586339562,56.68162218102823,3
3512,SOCO LOGTOWNW LD_CALGON,ALTW.STORYCO1,50,30.10313588738397,-0.5976923076923075,2.510217270212861,38.12246026736867,32.89254586339562,56.68162218102823,3
4535,SOCO LOGTOWNW LD_CALGON_2,ALTW.STORYCO1,47,30.10313588738397,-0.5976923076923075,2.510217270212861,38.12246026736867,32.89254586339562,56.68162218102823,3
257,AMMO VHFM VHFM,AMMO.WVPA.CZHI,57,14.4842947414216,1.9683384615384614,-1.371025212380406,16.682129542367534,32.88100834362492,66.6792267328217,1
8572,AMMO FGRD XFMR_W,AMMO.FGRDCTG1,62,14.477687397434142,1.9551999999999998,-1.3683176792521639,16.72819417729075,32.85273250125711,66.6723948461362,1
4981,AMMO FGRD XFMR_1__2,AMMO.FGRDCTG1,62,14.477687397434142,1.9551999999999998,-1.3683176792521639,16.72819417729075,32.85273250125711,66.6723948461362,1
4612,AMMO FGRD XFMR_D,AMMO.FGRDCTG1,62,14.477687397434142,1.9551999999999998,-1.3683176792521639,16.72819417729075,32.85273250125711,66.6723948461362,1
2042,CIN BRWBRG_N TR,CIN.ESR.ATTBRY,55,12.65990639850268,3.717425641025641,-2.401771664379956,18.76598099691613,32.797059902421225,64.34617392985822,21
9719,CIN BRWBRG_N BK2,CIN.CAYUGA.2,50,12.65990639850268,3.717425641025641,-2.401771664379956,18.76598099691613,32.797059902421225,64.34617392985822,21
2849,WEC 28TH13 28TH13_L2,WEC.EITM_LZ02,48,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
11663,WEC 96-ST 96-ST_L9,WEC.PS_ESR1_LD,50,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
10926,WEC 28-ST 28-ST_L8,WEC.PS_ESR1_LD,50,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
4225,WEC WJUNCTIO W-JCT_L139,DECO.BWEC.12,46,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
3417,WEC OCONNOR OCONOR_L61,WEC.OCONTFL,55,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
3287,WEC 96-ST 96-ST_L8,WEC.PS_ESR1_LD,50,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
2393,WEC 96-ST 96-ST_L7,WEC.PS_ESR1_LD,50,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
11929,WEC WJUNCTIO W-JCT_L140,DECO.BWEC.12,46,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
679,WEC 28TH13 28TH13_L1,WEC.EITM_LZ01,48,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
3836,WEC OCONNOR OCONOR_L62,WEC.OCONTFL,55,16.732530210308227,-0.6122666666666667,1.7290764427233465,25.09961389616186,32.79539352475883,64.01846155141493,32
12710,NSP SAUKCNTN TR1_LOAD,NSP.NWELOAD,56,11.704749631275599,-0.13161904761904764,-1.4649289344817507,3.054750912329986,32.70284386796903,75.64968490026286,20
5508,SIGE 10UNITD2 T1,SIGE.10CULGN2,69,13.73069236810338,3.4245435897435894,-2.137673976106181,20.17198922291112,32.63325223414108,63.828094448582746,75
8238,AMMO MORU XFMR_W,AMMO.MORUCTG1,62,14.445811692077148,1.8788820512820514,-1.3250306741553604,17.483347052928853,32.61069691363738,66.3930796794138,1
9923,CIN PITSBORO BK1_69,CIN.GIBSON.1,58,12.632053318312815,3.6425641025641027,-2.4325793834815244,19.065188362361457,32.54229929646116,64.31430327280357,21
7088,NSP COLNHILS GRE_TR1,NSP.CHARA_TR1,67,15.732980108130187,0.2958666666666667,-0.7877348807395803,13.265358318856961,32.51925747121612,69.81386537630296,31
2202,NSP COLNHILS GRE_TR2,NSP.CHARA_TR2,67,15.732980108130187,0.2958666666666667,-0.7877348807395803,13.265358318856961,32.51925747121612,69.81386537630296,31
14709,SIGE 10UNITD1 T1,SIGE.10CULGN3,62,13.695912984989068,3.4189128205128205,-2.17644566217866,20.287015820481347,32.517006776033625,63.80473820476234,75
10289,LAGN SPTR BECI,LAGN.BCI_2,67,15.423259060241318,3.1112272727272723,-2.0866595877290304,20.177144914010093,32.514931983906095,64.05030135763855,70
3504,NIPS WEIRICK WEIRICK,WEC.PS_ESR1,52,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
9463,NIPS ALCHEM1 ALCHEM,CONS.AESM.CHSE,61,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
11874,NIPS PARAGON PARAGON,NIPS.PRAXAIR,62,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
512,NIPS AIRPORT3 AIRPORT,NIPS.BAILY.ARR,63,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
12535,NIPS PIERCETN PIERCETN,NIPS.PRATTIND,57,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
11163,NIPS CLAY3 CLAY,NIPS.CAVALRYSF,62,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
12350,NIPS DEPUY DEPUY,DECO.EIPS,56,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
2801,NIPS KOSCIUSK NO_3_XFMR,NIPS.NIPS,44,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
4746,NIPS EAST30 EAST30,NIPS.ERC_TEST,65,15.429956104323534,0.873651282051282,-0.03617229761620653,21.6712916182615,32.50261247959358,64.88739207043028,76
